"code";"label"
"POA ChtRm";"Physics-Optics-Astronomy Library Chart Room"
"POA Stack";"Physics-Optics-Astronomy Library Circulating Books"
"POACirc";"Physics-Optics-Astronomy Library Circulation Desk"
"POACirProc";"Physics-Optics-Astronomy Library Circulation Processing"
"POA HisOp";"Physics-Optics-Astronomy Library History of Optics Coll"
"POA Index";"Physics-Optics-Astronomy Library Indexes"
"POAPer";"Physics-Optics-Astronomy Library Journals, Shelved by title"
"POA Per";"Physics-Optics-Astronomy Library Journals, Shelved by title"
"POA Over";"Physics-Optics-Astronomy Library Oversized Books"
"POA Ref";"Physics-Optics-Astronomy Library Reference Collection"
"POA Res";"Physics-Optics-Astronomy Library Reserve Collection"
"POA Soft";"Physics-Optics-Astronomy Library Software on Reserve"
"POA Off";"Physics-Optics-Astronomy Library Staff Use Only"
"POAStor";"Physics-Optics-Astronomy Library Storage"
"POA Stor";"Physics-Optics-Astronomy Library Storage"
"Brittle";"Preservation/Brittle Book - ask at Rhees Circulation"
"Film";"Preservation/Microfilm - ask at Rhees Circulation"
"MsgPgs";"Preservation/Missing Pages - ask at Rhees Circulation"
"Copy";"Preservation/Photocopy - ask at Rhees Circulation"
"RareRev";"Preservation/Rare Books-ask for at Rhees Circulation"
"Repair";"Preservation/Repair-ask for at Rhees Circulation"
"Replace";"Preservation/Replacement - ask at Rhees Circulation"
"Box";"Preservation/To be boxed  - ask at Rhees Circulation"
"RhsReview";"RC Cataloging Review"
"ArtRes";"Reserves - Art/Music Library"
"RheesMonAq";"Rhees Acquisitions Department"
"RheesColDv";"Rhees Acquisitions Department - Ask at Reference Desk"
"RheesAdmin";"Rhees Administration Offices - Ask at Reference Desk"
"RheesCat";"Rhees Catalog Department - Ask at Reference Desk"
"RheesCirc";"Rhees Circulation Desk"
"RheesResrv";"Rhees Circulation Desk - Reserve Collection"
"RheesCirPr";"Rhees Circulation Processing"
"Rhees Curr";"Rhees Curriculum Collection - Ask at Circ Desk"
"RheesILL";"Rhees Interlibrary Loan Department"
"RheesJuvLt";"Rhees Juvenile Literature 300m Stacks"
"RhsLvlALng";"Rhees Level A Lounge"
"RhsLvlBLng";"Rhees Level B Lounge"
"RheesNews";"Rhees Newspaper Room 2nd Floor off the PRR"
"RheesPer";"Rhees Periodical Reading Room 2nd Floor"
"RheesBrows";"Rhees Popular Reading Collection"
"RheesCage";"Rhees Preservation Cage - Ask at Reference Desk"
"RheesPrsrv";"Rhees Preservation Department - Ask at Reference Desk"
"RarReview";"Rhees Rare Books Cataloging Review"
"RheesAtlas";"Rhees Reference Atlas Case"
"RheesCD";"Rhees Reference CD-ROM -- Ask at Reference Desk"
"RheesCompd";"Rhees Reference Compendia"
"RheesIndex";"Rhees Reference Index Case"
"RheesLckCs";"Rhees Reference Locked Case"
"RheesMap";"Rhees Reference Map Case"
"RheesRefMc";"Rhees Reference Microforms"
"RheesRfMic";"Rhees Reference Microforms"
"RheesTrBib";"Rhees Reference National Catalogs"
"RhessRefOf";"Rhees Reference Office"
"RheesRefOf";"Rhees Reference Office"
"RheesRef";"Rhees Reference Stacks"
"RheesSerAq";"Rhees Serials Department - Ask at Reference Desk"
"DivPer";"Rhees Stacks"
"RheesStack";"Rhees Stacks"
"Div Stack";"Rhees Stacks"
"Docs4Stax";"Rhees Stacks Gov't Docs Transfer - use ""Request This Item"""
"RheesOsize";"Rhees Stacks Oversize"
"RheesStage";"Rhees Staging Area - use ""Request This Item"""
"RheesSystm";"Rhees Systems Department - Ask at Reference Desk"
"Rhees Test";"Rhees Test Collection - Ask at Reference Desk"
"WellesBrwn";"Rhees Welles-Brown Room"
"RheesIncm";"River Campus Serials Incomplete Shelf"
"RobbinsOff";"Robbins Library Office Rhees 416 (Non-circulating)"
"RobOvrsize";"Robbins Library Oversize Books Rhees 416 (Non-circulating)"
"RobbinsRef";"Robbins Library Reference Rhees 416"
"Robbins";"Robbins Library Rhees 416 (Non-circulating)"
"LwrHoyt";"SR1 Lower Hoyt"
"SibCatFol";"Sib Music  Catalog Folio"
"SibReview";"Sibley Music  Cataloging Review"
"SibAcq";"Sibley Music Acquisitions - use ""Request This Item"""
"SibBarcode";"Sibley Music Barcode Change - use ""Request This Item"""
"SibBindery";"Sibley Music Bindery - use ""Request This Item"""
"SibBindSp";"Sibley Music Bindery Special Treatment - ""Request This Item"""
"SibBindGnl";"Sibley Music Bindery/Commercial - use ""Request This Item"""
"SibHeckman";"Sibley Music Bindery/Commercial - use ""Request This Item"""
"SibBJrnl";"Sibley Music Bound Journals (Non-Circ) - Shelved in Stacks"
"SibBrittle";"Sibley Music Brittle Books - use ""Request This Item"""
"SibCat";"Sibley Music Catalog Department"
"SibOctavo";"Sibley Music Choral Octavos - 4th Fl"
"SibCircDsk";"Sibley Music Circulation Desk - use ""Request This Item"""
"SibCollWks";"Sibley Music Collected Works/Monuments (Non-Circ) - 4th Fl"
"SibConserv";"Sibley Music Conservation - use ""Request This Item"""
"SibCurPer";"Sibley Music Current Periodicals Room (Non-Circ) - 3rd Fl"
"SibDiscard";"Sibley Music Discards"
"ESMRecArts";"Sibley Music Eastman Audio Archive - 4th Fl Spec Coll"
"SibESMArch";"Sibley Music Eastman School Archives - 4th Fl Spec Coll"
"SibMusEdC";"Sibley Music Education Resources (Circulating) - 3rd Fl"
"SibMusEdNC";"Sibley Music Education Resources (Noncirculating) - 3rd Fl"
"SibErasing";"Sibley Music Erasing - use ""Request This Item"""
"SibILL";"Sibley Music Interlibrary Loan Department - 2nd Fl"
"SibLocCode";"Sibley Music Location Code Change - use ""Request This Item"""
"SibMicMast";"Sibley Music Microform Masters - Staff Use Only"
"SibMicro";"Sibley Music Microforms - 2nd Fl"
"SibMicAcq";"Sibley Music Microforms - 2nd Fl"
"SibMinScor";"Sibley Music Miniature Scores (Circulating) - 2nd Fl"
"SibMinScRC";"Sibley Music Miniature Scores (Restricted Circ) - 2nd Fl"
"SibRefMisc";"Sibley Music Misc Reference - 2nd Fl Index Tables etc."
"SibParts";"Sibley Music Missing Parts Shelf- use ""Request This Item"""
"SibNewBook";"Sibley Music New Book Shelf - 2nd Fl"
"SibNewMat";"Sibley Music New Materials/Bindery - use ""Request This Item"""
"SibQckRef";"Sibley Music Quick Reference (Non-Circulating) - 2nd Fl"
"SibRare";"Sibley Music Rare Books (Non-Circ) - 4th Fl Spec Coll"
"SibRareRef";"Sibley Music Rare Books Reference (Non-Circ) - 4th Fl"
"SibRareFol";"Sibley Music Rare Folios (Non-Circ) - 4th Fl Spec Coll"
"SibRecrd";"Sibley Music Recording Stacks (Restricted Circ) - 3rd Fl"
"SibRef";"Sibley Music Reference Stacks (Non-Circ) - 2nd Fl"
"SibReform";"Sibley Music Reformat - use ""Request This Item"""
"SibRemSto";"Sibley Music Remote Storage - Does Not Circulate"
"SibReplace";"Sibley Music Replacements - use ""Request This Item"""
"SibReserve";"Sibley Music Reserve - 3rd Fl"
