Săliștea,AB
Săliștea-Deal,AB
Sărăcsău,AB
Săsciori,AB
Sânbenedic,AB
Sâncel,AB
Sâncrai,AB
Sânmiclăuș,AB
Sântămărie,AB
Sântimbru,AB
Scărișoara,AB
Scoarța,AB
Sebeș,AB
Sebeșel,AB
Sebișești,AB
Secășel,AB
Segaj,AB
Sfârcea,AB
Sfoartea,AB
Sicoiești,AB
Silivaș,AB
Simulești,AB
Snide,AB
Soharu,AB
Sohodol,AB
Sohodol (Albac),AB
Sorlița,AB
Spătac,AB
Stănești,AB
Stăuini,AB
Stâlnișoara,AB
Stâna de Mureș,AB
Straja,AB
Stremț,AB
Strungari,AB
Sturu,AB
Sub Piatră,AB
Sucești,AB
Surdești,AB
Suseni,AB
Șard,AB
Șasa,AB
Șeușa,AB
Șibot,AB
Șilea,AB
Șimocești,AB
Șoal,AB
Șoicești,AB
Șoimuș,AB
Șona,AB
Șpălnaca,AB
Șpring,AB
Ștefanca,AB
Ștei-Arieșeni,AB
Ștertești,AB
Știuleți,AB
Șugag,AB
Tamborești,AB
Tărtăria,AB
Tătârlaua,AB
Tău,AB
Tău Bistra,AB
Tăuni,AB
Tăuți,AB
Târsa,AB
Târsa-Plai,AB
Tecșești,AB
Teiu,AB
Teiuș,AB
Teleac,AB
Tibru,AB
Tiur,AB
Tolăcești,AB
Tomești,AB
Tomnatec,AB
Tomușești,AB
Tomuțești,AB
Tonea,AB
Totoi,AB
Toțești,AB
Trâmpoiele,AB
Trâncești,AB
Trifești (Horea),AB
Trifești (Lupșa),AB
Trișorești,AB
Turdaș,AB
Țarina,AB
Țărănești,AB
Țelna,AB
Țifra,AB
Țoci,AB
Uioara de Jos,AB
Uioara de Sus,AB
Ungurei,AB
Unirea,AB
Urdeș,AB
Vadu Moților,AB
Vale în Jos,AB
Valea Abruzel,AB
Valea Albă,AB
Valea Barnii,AB
Valea Bârluțești,AB
Valea Bistrii,AB
Valea Bucurului,AB
Valea Caselor,AB
Valea Cerbului,AB
Valea Ciuciului,AB
Valea Cocești,AB
Valea Făgetului,AB
Valea Giogești,AB
Valea Goblii,AB
Valea Holhorii,AB
Valea Inzelului,AB
Valea Largă,AB
Valea Lungă,AB
Valea Lupșii,AB
Valea Maciului,AB
Valea Mare,AB
Valea Mănăstirii,AB
Valea Mică,AB
Valea Mlacii,AB
Valea Morii,AB
Valea Negrilesii,AB
Valea Poienii (Bucium),AB
Valea Poienii (Râmeț),AB
Valea Sasului,AB
Valea Șesii (Bucium),AB
Valea Șesii (Lupșa),AB
Valea Țupilor,AB
Valea Uțului,AB
Valea Uzei,AB
Valea Verde,AB
