"code";"label"
"MMCStkOver";"Multimedia Center"
"SibNet";"Multimedia Center"
"DivINet";"Multimedia Center"
"MMC Browse";"Multimedia Center"
"MMCCirDsk";"Multimedia Center"
"MMCCirProc";"Multimedia Center"
"MMC Ser";"Multimedia Center"
"MMC Ref";"Multimedia Center"
"MMC Res";"Multimedia Center"
"MMCResDsk";"Multimedia Center"
"MMCStack";"Multimedia Center"
"MMCStfOff";"Multimedia Center"
"MMCRead";"Multimedia Center"
"BGILguide";"Newspaper and Microform Center"
"NewsNewspr";"Newspaper and Microform Center"
"NewsMicro";"Newspaper and Microform Center"
"NewsSuDoc";"Newspaper and Microform Center"
"POA Over";"POA Library"
"POA Index";"POA Library"
"POA Per";"POA Library"
"POAPer";"POA Library"
"POA CDCase";"POA Library"
"POA Stor";"POA Library"
"POA Ref";"POA Library"
"POA Res";"POA Library"
"POA Soft";"POA Library"
"POA Off";"POA Library"
"POA ChtCas";"POA Library"
"POA ChtRm";"POA Library"
"POACirc";"POA Library"
"POACirProc";"POA Library"
"POA Stack";"POA Library"
"POA HisOp";"POA Library"
"RBManuscrp";"River Campus Libraries"
"RheesMap";"River Campus Libraries"
"RheesRefOf";"River Campus Libraries"
"DivMflm";"River Campus Libraries"
"DivMfche";"River Campus Libraries"
"BGIL";"River Campus Libraries"
"BGILcd";"River Campus Libraries"
"BGILCirc";"River Campus Libraries"
"BGILfed";"River Campus Libraries"
"BGILnys";"River Campus Libraries"
"BGILover";"River Campus Libraries"
"BGILguide";"River Campus Libraries"
"NewsMicro";"River Campus Libraries"
"NewsNewspr";"River Campus Libraries"
"NewsSuDoc";"River Campus Libraries"
"Robbins";"River Campus Libraries"
"Borst";"River Campus Libraries"
"RheesCirc";"River Campus Libraries"
"ArtMuscOS";"River Campus Libraries"
"ArtRef";"River Campus Libraries"
"Gandhi";"River Campus Libraries"
"MMCSpecial";"River Campus Libraries"
"MMCSplOver";"River Campus Libraries"
"MMCStkOver";"River Campus Libraries"
"Docx4AnnX";"River Campus Libraries"
"Docs4Stax";"River Campus Libraries"
"RheesBrows";"River Campus Libraries"
"RheesMonAq";"River Campus Libraries"
"RheesRLHM";"River Campus Libraries"
"RBKodak";"River Campus Libraries"
"RBKodakHis";"River Campus Libraries"
"RBOffsite";"River Campus Libraries"
"RheesStage";"River Campus Libraries"
"KCOversize";"River Campus Libraries"
"RhsLvlALng";"River Campus Libraries"
"RhsLvlBLng";"River Campus Libraries"
"RheesRareR";"River Campus Libraries"
"RheesRareA";"River Campus Libraries"
"RheesRareB";"River Campus Libraries"
"RBDavis";"River Campus Libraries"
"RheesRareG";"River Campus Libraries"
"RBHimes";"River Campus Libraries"
"RBCage";"River Campus Libraries"
"RBSherlock";"River Campus Libraries"
"ArtMusicRR";"River Campus Libraries"
"ArtMuscRef";"River Campus Libraries"
"POA Over";"River Campus Libraries"
"CarlBrows";"River Campus Libraries"
"POA Stor";"River Campus Libraries"
"POA Ref";"River Campus Libraries"
"POA Res";"River Campus Libraries"
"POA Soft";"River Campus Libraries"
"POA Off";"River Campus Libraries"
"RheesJuvLt";"River Campus Libraries"
"RheesNews";"River Campus Libraries"
"RheesPer";"River Campus Libraries"
"RheesCage";"River Campus Libraries"
"RheesPrsrv";"River Campus Libraries"
"RheesRare";"River Campus Libraries"
"RheesRareC";"River Campus Libraries"
"RheesRareF";"River Campus Libraries"
"RheesRareS";"River Campus Libraries"
"RheesAtlas";"River Campus Libraries"
"RheesCD";"River Campus Libraries"
"RheesCompd";"River Campus Libraries"
"RheesIndex";"River Campus Libraries"
"RheesLckCs";"River Campus Libraries"
"RheesTrBib";"River Campus Libraries"
"RheesRef";"River Campus Libraries"
"RheesResrv";"River Campus Libraries"
"RheesStack";"River Campus Libraries"
"RheesOsize";"River Campus Libraries"
"WellesBrwn";"River Campus Libraries"
"RheesRarAF";"River Campus Libraries"
"RobbinsOff";"River Campus Libraries"
"RobOvrsize";"River Campus Libraries"
"RobbinsRef";"River Campus Libraries"
"CarlDiss";"River Campus Libraries"
"ArtCage";"River Campus Libraries"
"ArtCircDsk";"River Campus Libraries"
"ArtCirProc";"River Campus Libraries"
"ArtFolio";"River Campus Libraries"
"ArtPer";"River Campus Libraries"
"ArtMicro";"River Campus Libraries"
"ArtRefCD";"River Campus Libraries"
"ArtRes";"River Campus Libraries"
"ArtResDsk";"River Campus Libraries"
"ArtStack";"River Campus Libraries"
"ArtWrkRoom";"River Campus Libraries"
"CarlCDCase";"River Campus Libraries"
"CarlAtlas";"River Campus Libraries"
"CarlCirc";"River Campus Libraries"
"CarlCirPro";"River Campus Libraries"
"CarlStack";"River Campus Libraries"
"CarlCmpct";"River Campus Libraries"
"CarlTecRp";"River Campus Libraries"
"CarlPer";"River Campus Libraries"
"CarlMapCs";"River Campus Libraries"
"CarlOsize";"River Campus Libraries"
"CarlRef";"River Campus Libraries"
"CarlRdRef";"River Campus Libraries"
"CarlRes";"River Campus Libraries"
"CarlOff";"River Campus Libraries"
"Carl Text";"River Campus Libraries"
"CarlNewBk";"River Campus Libraries"
"E-Res";"River Campus Libraries"
"Heyen";"River Campus Libraries"
"HeyenFolio";"River Campus Libraries"
"KCEngl";"River Campus Libraries"
"KCRef";"River Campus Libraries"
"LLECirc";"River Campus Libraries"
"LLECirProc";"River Campus Libraries"
"LLE Stack";"River Campus Libraries"
"LLE Per";"River Campus Libraries"
"LLE Ref";"River Campus Libraries"
"LLE Off";"River Campus Libraries"
"LLE Soft";"River Campus Libraries"
"AtlasCase";"River Campus Libraries"
"MapCase";"River Campus Libraries"
"MMC Browse";"River Campus Libraries"
"MMCCirDsk";"River Campus Libraries"
"MMCCirProc";"River Campus Libraries"
"MMC Ser";"River Campus Libraries"
"MMC Ref";"River Campus Libraries"
"MMC Res";"River Campus Libraries"
"MMCResDsk";"River Campus Libraries"
"MMCStack";"River Campus Libraries"
"MMCStfOff";"River Campus Libraries"
"POA ChtCas";"River Campus Libraries"
"POA ChtRm";"River Campus Libraries"
"POACirc";"River Campus Libraries"
"POACirProc";"River Campus Libraries"
"POA Stack";"River Campus Libraries"
"POA HisOp";"River Campus Libraries"
"POA Index";"River Campus Libraries"
"POA Per";"River Campus Libraries"
"POAPer";"River Campus Libraries"
"POA CDCase";"River Campus Libraries"
"POA Over";"River Campus Science Libraries"
"CarlNewBk";"River Campus Science Libraries"
"POA Soft";"River Campus Science Libraries"
"POA Off";"River Campus Science Libraries"
"CarlCDCase";"River Campus Science Libraries"
"CarlAtlas";"River Campus Science Libraries"
"CarlCirc";"River Campus Science Libraries"
"CarlCirPro";"River Campus Science Libraries"
"CarlStack";"River Campus Science Libraries"
"CarlCmpct";"River Campus Science Libraries"
"CarlTecRp";"River Campus Science Libraries"
"CarlPer";"River Campus Science Libraries"
"CarlMapCs";"River Campus Science Libraries"
"CarlOsize";"River Campus Science Libraries"
"CarlRef";"River Campus Science Libraries"
"CarlRdRef";"River Campus Science Libraries"
"CarlRes";"River Campus Science Libraries"
"CarlOff";"River Campus Science Libraries"
"Carl Text";"River Campus Science Libraries"
"LLECirc";"River Campus Science Libraries"
"LLECirProc";"River Campus Science Libraries"
"LLE Stack";"River Campus Science Libraries"
"LLE Per";"River Campus Science Libraries"
"LLE Ref";"River Campus Science Libraries"
"LLE Off";"River Campus Science Libraries"
"LLE Soft";"River Campus Science Libraries"
"POA ChtCas";"River Campus Science Libraries"
"POA ChtRm";"River Campus Science Libraries"
"POACirc";"River Campus Science Libraries"
"POACirProc";"River Campus Science Libraries"
"POA Stack";"River Campus Science Libraries"
"POA HisOp";"River Campus Science Libraries"
"POA Index";"River Campus Science Libraries"
"POA Per";"River Campus Science Libraries"
"POAPer";"River Campus Science Libraries"
"POA CDCase";"River Campus Science Libraries"
"POA Stor";"River Campus Science Libraries"
"POA Ref";"River Campus Science Libraries"
"POA Res";"River Campus Science Libraries"
"CarlDiss";"River Campus Science Libraries"
"CarlBrows";"River Campus Science Libraries"
"KCRef";"Robbins Library/Koller-Collins Center"
"Robbins";"Robbins Library/Koller-Collins Center"
"RobbinsOff";"Robbins Library/Koller-Collins Center"
"RobOvrsize";"Robbins Library/Koller-Collins Center"
"RobbinsRef";"Robbins Library/Koller-Collins Center"
"KCOversize";"Robbins Library/Koller-Collins Center"
"KCEngl";"Robbins Library/Koller-Collins Center"
"ArtCage";"Rush Rhees Library"
"ArtCircDsk";"Rush Rhees Library"
"ArtCirProc";"Rush Rhees Library"
"ArtFolio";"Rush Rhees Library"
"ArtPer";"Rush Rhees Library"
"ArtMicro";"Rush Rhees Library"
"ArtRefCD";"Rush Rhees Library"
"ArtRes";"Rush Rhees Library"
"ArtResDsk";"Rush Rhees Library"
"ArtStack";"Rush Rhees Library"
"ArtWrkRoom";"Rush Rhees Library"
"Heyen";"Rush Rhees Library"
"HeyenFolio";"Rush Rhees Library"
"KCEngl";"Rush Rhees Library"
"KCRef";"Rush Rhees Library"
"AtlasCase";"Rush Rhees Library"
"MapCase";"Rush Rhees Library"
"MMC Browse";"Rush Rhees Library"
"MMCCirDsk";"Rush Rhees Library"
"MMCCirProc";"Rush Rhees Library"
"MMC Ser";"Rush Rhees Library"
"MMC Ref";"Rush Rhees Library"
"MMC Res";"Rush Rhees Library"
"MMCResDsk";"Rush Rhees Library"
"MMCStack";"Rush Rhees Library"
"MMCStfOff";"Rush Rhees Library"
"RheesNews";"Rush Rhees Library"
"RheesPer";"Rush Rhees Library"
"RheesRare";"Rush Rhees Library"
"RheesRareC";"Rush Rhees Library"
"RheesRareF";"Rush Rhees Library"
"RheesRareS";"Rush Rhees Library"
"RheesAtlas";"Rush Rhees Library"
"RheesCD";"Rush Rhees Library"
"RheesCompd";"Rush Rhees Library"
"RheesIndex";"Rush Rhees Library"
"RheesLckCs";"Rush Rhees Library"
"RheesTrBib";"Rush Rhees Library"
"RheesRefOf";"Rush Rhees Library"
"RheesRef";"Rush Rhees Library"
"RheesResrv";"Rush Rhees Library"
"RheesStack";"Rush Rhees Library"
"RheesOsize";"Rush Rhees Library"
"WellesBrwn";"Rush Rhees Library"
"RheesRarAF";"Rush Rhees Library"
"Robbins";"Rush Rhees Library"
"RobbinsOff";"Rush Rhees Library"
"RobOvrsize";"Rush Rhees Library"
"RobbinsRef";"Rush Rhees Library"
"BGIL";"Rush Rhees Library"
"BGILcd";"Rush Rhees Library"
"BGILfed";"Rush Rhees Library"
"BGILguide";"Rush Rhees Library"
"BGILnys";"Rush Rhees Library"
"BGILover";"Rush Rhees Library"
"NewsMicro";"Rush Rhees Library"
"NewsNewspr";"Rush Rhees Library"
"NewsSuDoc";"Rush Rhees Library"
"ArtMusicRR";"Rush Rhees Library"
"ArtMuscRef";"Rush Rhees Library"
"Borst";"Rush Rhees Library"
"RheesBrows";"Rush Rhees Library"
"RheesJuvLt";"Rush Rhees Library"
"RhsLvlALng";"Rush Rhees Library"
"RhsLvlBLng";"Rush Rhees Library"
"RarReview";"Rush Rhees Library"
"RheesRLHM";"Rush Rhees Library"
"ArtMuscOS";"Rush Rhees Library"
"ArtRef";"Rush Rhees Library"
"MMCG122s";"Rush Rhees Library"
"MMCG113";"Rush Rhees Library"
"MMCG122";"Rush Rhees Library"
"MMCG122B";"Rush Rhees Library"
"MMCG122C";"Rush Rhees Library"
"MMCG122E";"Rush Rhees Library"
"MMCG122F";"Rush Rhees Library"
"MMCSpecial";"Rush Rhees Library"
"MMCSplOver";"Rush Rhees Library"
"MMCStkOver";"Rush Rhees Library"
"RheesRareB";"Rush Rhees Library"
"RBDavis";"Rush Rhees Library"
"RheesRareG";"Rush Rhees Library"
"RBManuscrp";"Rush Rhees Library"
"RheesMap";"Rush Rhees Library"
"Div Stack";"Rush Rhees Library"
"DivPer";"Rush Rhees Library"
"KCOversize";"Rush Rhees Library"
"RheesRareR";"Rush Rhees Library"
"RheesRareA";"Rush Rhees Library"
"RBHimes";"Rush Rhees Library"
"DivMfche";"Rush Rhees Library"
"DivMflm";"Rush Rhees Library"
"RheesRareB";"Rush Rhees Rare Books and Special Collections"
"RBDavis";"Rush Rhees Rare Books and Special Collections"
"RheesRareG";"Rush Rhees Rare Books and Special Collections"
"RBHimes";"Rush Rhees Rare Books and Special Collections"
"RBOffsite";"Rush Rhees Rare Books and Special Collections"
